;;ÖÐR.;PUAN;GENEL;OK.BÝR.;ÞEHÝT VE;34 YAÞ;DEPREM-;;2024-YKS;2024-YKS;;AKREDÝ-
PROGRAM;PROGRAM ADI (2);SÜRE ;TÜRÜ;KONT. ;KONT. ;GAZÝ YAK.;ÜSTÜ KADIN;ZEDE ADAY;ÖZEL KOÞUL VE ;BAÞARI;EN KÜÇÜK;TYÇ;TASYON
KODU (1);;(3);(4);(5);(6);KONT. (7);KONT. (8);KONT. (9);AÇIKLAMALAR (10);SIRASI (11);PUAN (12);(13);(14)
;ADANA ALPARSLAN TÜRKEÞ BÝLÝM VE TEKNOLOJÝ ÜNÝVERSÝTESÝ (Devlet Üniversitesi);;;;;;;;;;;;YÖKAK
100590099;  Evde Hasta Bakýmý;2;TYT;40;1;;1;;;793257;307.28623;;
100590060;  Halýcýlýk ve Kilimcilik;2;TYT;20;1;;1;;;2017947;229.68279;;
100590082;  Ýlk ve Acil Yardým;2;TYT;40;1;;1;;;637996;321.64165;;
100590070;  Yapý Denetimi;2;TYT;20;1;;1;;;1868464;237.83740;;
;Eleþkirt Meslek Yüksekokulu;;;;;;;;;;;;
100550234;  Bankacýlýk ve Sigortacýlýk;2;TYT;25;1;;1;;;1878195;237.28920;;
100590071;  Laborant ve Veteriner Saðlýk;2;TYT;40;1;;1;;;1487832;259.64825;;
100590076;  Saðlýk Kurumlarý Ýþletmeciliði;2;TYT;35;1;;1;;;1726130;245.80965;;
;Meslek Yüksekokulu;;;;;;;;;;;;
100550031;  Bilgisayar Programcýlýðý;2;TYT;60;2;;2;;;1266087;273.29641;;
100550049;  Elektrik;2;TYT;35;1;;1;;;1492566;259.35930;;
100550155;  Geleneksel El Sanatlarý;2;TYT;25;1;;1;;;1908453;235.62070;;
100550288;  Grafik Tasarýmý;2;TYT;40;1;;1;;;1641945;250.61280;;
100550297;  Ýþ Saðlýðý ve Güvenliði;2;TYT;30;1;;1;;;1503116;258.73351;;
100550022;  Makine;2;TYT;25;1;;1;;;1692332;247.72885;;
100550013;  Mekatronik;2;TYT;30;1;;1;;;1737455;245.16271;;
100550225;  Muhasebe ve Vergi Uygulamalarý;2;TYT;30;1;;1;;;1705433;246.98109;;
100590072;  Nükleer Teknoloji ve Radyasyon Güvenliði;2;TYT;30;1;;1;;;1728519;245.66931;;
100550128;  Organik Tarým;2;TYT;30;1;;1;;;1913674;235.33724;;
100550164;  Posta Hizmetleri;2;TYT;60;2;;2;;;1906492;235.72763;;
100590089;  Yerel Yönetimler;2;TYT;30;1;;1;;;1828061;240.07994;;
;Patnos Meslek Yüksekokulu;;;;;;;;;;;;
100590065;  Bilgisayar Programcýlýðý;2;TYT;60;2;;2;;;1708686;246.79781;;
100590079;  Biyomedikal Cihaz Teknolojisi;2;TYT;30;1;;1;;;1678653;248.50987;;
100590080;  Eczane Hizmetleri;2;TYT;35;1;;1;;;978902;292.75279;;
100590066;  Ýnþaat Teknolojisi;2;TYT;30;1;;1;;;1934317;234.20362;;
100590068;  Mimari Restorasyon;2;TYT;25;1;;1;;;1925325;234.69561;;
100590062;  Optisyenlik;2;TYT;40;1;;1;;;1328198;269.40349;;
100590063;  Sivil Savunma ve Ýtfaiyecilik;2;TYT;50;2;;;;9;1364779;267.13661;;
;Saðlýk Hizmetleri Meslek Yüksekokulu;;;;;;;;;;;;
100550085;  Çocuk Geliþimi;2;TYT;35;1;;1;;;982061;292.51841;;
100550191;  Engelli Bakýmý ve Rehabilitasyon;2;TYT;50;2;;2;;;1206623;277.14388;;
100550067;  Ýlk ve Acil Yardým;2;TYT;40;1;;1;;;514686;335.53853;;
100550207;  Týbbi Laboratuvar Teknikleri;2;TYT;40;1;;1;;;670534;318.41800;;
100550137;  Yaþlý Bakýmý;2;TYT;40;1;;1;;;902200;298.49221;;
;Sivil Havacýlýk Meslek Yüksekokulu;;;;;;;;;;;;
100590069;  Sivil Hava Ulaþtýrma Ýþletmeciliði;2;TYT;35;1;;1;;10;1533606;256.93986;;
100590059;  Sivil Havacýlýk Kabin Hizmetleri;2;TYT;50;2;;2;;10;1187514;278.38115;;
;AKDENÝZ ÜNÝVERSÝTESÝ (ANTALYA) (Devlet Üniversitesi);;;;;;;;;;;;YÖKAK
;Demre Dr. Hasan Ünal Meslek Yüksekokulu;;;;;;;;;;;;
100790324;  Turist Rehberliði;2;TYT;60;2;;2;;;875747;300.53556;;
;Elmalý Meslek Yüksekokulu;;;;;;;;;;;;
100790415;  Bahçe Tarýmý;2;TYT;30;1;;1;;;1773632;243.12961;;
100790470;  Bilgisayar Programcýlýðý;2;TYT;55;2;;2;;;764663;309.74679;;
100790528;  Bilgisayar Programcýlýðý (KKTC Uyruklu);2;TYT;1;;;;;5;1038887;288.45565;;
100790651;  Elektrikli Cihaz Teknolojisi;2;TYT;40;1;;1;;;...;----;;
100751036;  Elektronik Teknolojisi;2;TYT;40;1;;1;;;1340460;268.64542;;
100750938;  Ýþletme Yönetimi;2;TYT;35;1;;1;;;1495611;259.17977;;
100750877;  Muhasebe ve Vergi Uygulamalarý;2;TYT;30;1;;1;;;1484860;259.82602;;
100751248;  Seracýlýk;2;TYT;30;1;;1;;;1827216;240.12800;;
100790325;  Sivil Savunma ve Ýtfaiyecilik;2;TYT;30;1;;;;9;788443;307.69336;;
100790658;  Tarým Makineleri ve Teknolojileri;2;TYT;35;1;;1;;;...;----;;
;Finike Meslek Yüksekokulu;;;;;;;;;;;;
100751284;  Bahçe Tarýmý;2;TYT;35;1;;1;;;1683125;248.24900;;
100750726;  Deniz ve Liman Ýþletmeciliði;2;TYT;35;1;;1;;;1031211;288.99661;;
100751275;  Dýþ Ticaret;2;TYT;40;1;;1;;;1055013;287.32783;;
100790318;  Meyve ve Sebze Ýþleme Teknolojisi;2;TYT;25;1;;1;;;1781472;242.67948;;
100750717;  Turizm ve Otel Ýþletmeciliði;2;TYT;30;1;;1;;;1124255;282.58942;;
;Göynük Mutfak Sanatlarý Meslek Yüksekokulu;;;;;;;;;;;;
100751654;  Aþçýlýk;2;TYT;70;2;;2;;;698449;315.74980;;
100751733;  Ýkram Hizmetleri;2;TYT;45;2;;2;;;1589473;253.66715;;
100790467;  Pastacýlýk ve Ekmekçilik;2;TYT;30;1;;1;;;818310;305.17527;;
;Korkuteli Meslek Yüksekokulu;;;;;;;;;;;;
100751212;  Bahçe Tarýmý;2;TYT;30;1;;1;;;1731709;245.48687;;
100790331;  Elektronik Haberleþme Teknolojisi;2;TYT;35;1;;1;;;1414906;264.03910;;
100751257;  Maliye;2;TYT;50;2;;2;;;1390760;265.53046;;
100750656;  Mantarcýlýk;2;TYT;20;1;;1;;;1751990;244.34413;;
100750886;  Muhasebe ve Vergi Uygulamalarý;2;TYT;30;1;;1;;;1511764;258.22227;;
100750814;  Pazarlama;2;TYT;25;1;;1;;;1531589;257.05762;;
